feature,feature_pretty,min,max
lab_Alkphos_2,"alkaline phosphatase
[D2]",19.0,498.0
lab_CRP_0,"c-reactive protein
[D0]",0.0,610.0
lab_CRP_1,"c-reactive protein
[D1]",0.0,556.0
lab_CRP_2,"c-reactive protein
[D2]",1.6163346123431799,461.0
lab_Creatinin_0,"creatinine
[D0]",15.0,689.0
lab_Creatinin_1,"creatinine
[D1]",13.0,703.0
lab_Creatinin_2,"creatinine
[D2]",15.0,623.0
lab_Thrombozyten_1,"platelets
[D1]",26.0,500.0
lab_Thrombozyten_2,"platelets
[D2]",13.0,490.0
lab_eGFR-CKD_0,"est. glomerular filtration rate (ckd-epi)
[D0]",5.0,163.0
lab_eGFR-CKD_1,"est. glomerular filtration rate (ckd-epi)
[D1]",5.0,146.90661283443657
lab_eGFR-CKD_2,"est. glomerular filtration rate (ckd-epi)
[D2]",5.0,159.510960889824
age,age,0.0,94.0
sex,sex,0.0,1.0
asa,ASA score,1.0,5.0
com_charlson_MyocardialInfarction,myocardial infarction,0.0,1.0
com_charlson_CongestiveHeartFailure,congestive heart failure,0.0,1.0
com_charlson_PeripheralVascularDisease,peripheral vascular disease,0.0,1.0
com_charlson_CerebrovascularDisease,cerebrovascular disease,0.0,1.0
com_charlson_Dementia,dementia,0.0,1.0
com_charlson_ChronicPulmonaryDisease,chronic pulmonary disease,0.0,1.0
com_charlson_ConnectiveTissueDiseaseRheumaticDisease,rheumatic disease,0.0,1.0
com_charlson_PepticUlcerDisease,peptic ulcer disease,0.0,1.0
com_charlson_MildLiverDisease,mild liver disease,0.0,1.0
com_charlson_ParaplegiaHemiplegia,paraplegia/hemiplegia,0.0,1.0
com_charlson_RenalDisease,moderate/severe liver disease,0.0,1.0
com_charlson_Cancer,cancer,0.0,1.0
com_charlson_MetastaticCarcinoma,metastatic carcinoma,0.0,1.0
com_charlson_HIV,HIV,0.0,1.0
com_elix_CardiacArrhythmia,cardiac arrhythmia,0.0,1.0
com_elix_ValvularDisease,valvular disease,0.0,1.0
com_elix_PulmonaryCirculationDisorders,pulmonary circulation disorders,0.0,1.0
com_elix_HypertensionUncomplicated,hypertension uncomplicated,0.0,1.0
com_elix_HypertensionComplicated,hypertension complicated,0.0,1.0
com_elix_OtherNeurologicalDisorders,other neurological disorders,0.0,1.0
com_elix_Hypothyroidism,hypothyroidism,0.0,1.0
